t,s,i,r,m
280,58956827.17345662,0.45440077548898544,975366.1679533828,67806.20418927261
281,58956827.17344316,0.42308862314951723,975366.1972428213,67806.20622543678
282,58956827.17343108,0.39393372189796594,975366.224513949,67806.20812129058
283,58956827.17342023,0.3667874925126386,975366.249905818,67806.20988650071
284,58956827.17341049,0.34151158109955654,975366.2735479061,67806.21153006834
285,58956827.173401736,0.31797716483571625,975366.2955607682,67806.21306037426
286,58956827.17339387,0.2960642845569562,975366.3160566606,67806.21448522239
287,58956827.17338681,0.27566124579952983,975366.3351401027,67806.21581187879
288,58956827.17338047,0.2566640419258353,975366.3529084164,67806.21704710917
289,58956827.17337477,0.23897582916016225,975366.3694522198,67806.21819721314
290,58956827.17336966,0.22250643381249452,975366.3848558863,67806.21926805627
291,58956827.173365064,0.20717188919505575,975366.3991979804,67806.22026510023
292,58956827.173360944,0.19289401501695172,975366.41255165,67806.2211934302
293,58956827.17335723,0.179600011714794,975366.4249850074,67806.22205778125
294,58956827.1733539,0.16722209631397558,975366.4365614697,67806.22286256206
295,58956827.173350915,0.1556971530106126,975366.4473400862,67806.22361187765
296,58956827.173348226,0.14496641323712922,975366.4573758376,67806.2243095502
297,58956827.17334582,0.13497515760116421,975366.4667199157,67806.22495913852
298,58956827.17334365,0.12567243402287578,975366.4754199868,67806.2255639563
299,58956827.17334171,0.1170108029344998,975366.4835204299,67806.22612708871
300,58956827.173339956,0.10894608905944471,975366.4910625704,67806.22665140864
301,58956827.17333839,0.10143716155639732,975366.4980848843,67806.22713959088
302,58956827.17333698,0.09444572514310234,975366.5046231943,67806.22759412581
303,58956827.173335716,0.08793611970878702,975366.5107108585,67806.22801733241
304,58956827.173334576,0.08187514457662035,975366.5163789327,67806.22841136965
305,58956827.173333555,0.07623188488107928,975366.5216563347,67806.22877824787
306,58956827.17333264,0.0709775547247352,975366.5265699904,67806.2291198389
307,58956827.17333182,0.06608535408904724,975366.5311449678,67806.22943788546
308,58956827.17333108,0.06153032682403771,975366.5354046095,67806.22973401028
309,58956827.17333041,0.057289237674482504,975366.5393706487,67806.23000972424
310,58956827.173329815,0.053340452536413,975366.5430633203,67806.23026643402
311,58956827.17332928,0.049663826599874415,975366.5465014664,67806.23050544952
312,58956827.1733288,0.046240604850185905,975366.5497026285,67806.23072799022
313,58956827.17332837,0.0430533231908611,975366.5526831408,67806.2309351916
314,58956827.17332798,0.04008572102957649,975366.5554582117,67806.23112811097
315,58956827.17332763,0.03732265930449625,975366.5580420002,67806.23130773263
316,58956827.17332732,0.03475004082637398,975366.560447691,67806.23147497317
317,58956827.173327036,0.032354740874036406,975366.5626875594,67806.23163068594
318,58956827.17332679,0.03012453878544717,975366.5647730343,67806.23177566548
319,58956827.17332656,0.028048055575605062,975366.5667147582,67806.23191065164
320,58956827.17332636,0.026114697564935736,975366.5685226383,67806.23203633314
321,58956827.17332618,0.02431459977414302,975366.5702059007,67806.23215335138
322,58956827.173326015,0.02263857724212801,975366.5717731353,67806.23226230353
323,58956827.17332587,0.021078079142777977,975366.5732323389,67806.23236374548
324,58956827.17332573,0.019625142793271693,975366.5745909583,67806.23245819497
325,58956827.17332561,0.01827235481718943,975366.5758559264,67806.2325461339
326,58956827.17332551,0.01701281288740247,975366.577033698,67806.23262801109
327,58956827.17332541,0.01584008949755953,975366.578130284,67806.23270424434
328,58956827.17332532,0.014748201005894973,975366.5791512803,67806.2327752227
329,58956827.17332525,0.013731575947074977,975366.5801018971,67806.23284130836
330,58956827.17332517,0.012785026300379426,975366.580986986,67806.2329028386
331,58956827.173325114,0.011903722415614973,975366.5818110636,67806.23296012741
332,58956827.173325054,0.011083167105679935,975366.5825783352,67806.23301346715
333,58956827.173325,0.010319172939154356,975366.5832927169,67806.23306313004
334,58956827.17332496,0.009607841639472469,975366.583957854,67806.23310936952
335,58956827.17332491,0.008945543077561673,975366.584577141,67806.23315242157
336,58956827.17332488,0.008328897383978417,975366.5851537389,67806.23319250591
337,58956827.173324846,0.007754758049432047,975366.5856905899,67806.23322982709
338,58956827.173324816,0.007220195001477128,975366.5861904337,67806.2332645756
339,58956827.17332479,0.006722480334684936,975366.5866558217,67806.23329692877
340,58956827.17332477,0.006259074235644492,975366.5870891286,67806.23332705171
341,58956827.17332475,0.0058276116394024285,975366.587492566,67806.23335509817
342,58956827.17332473,0.005425890803028338,975366.5878681929,67806.23338121126
343,58956827.17332471,0.005051861661174998,975366.5882179262,67806.23340552428
344,58956827.1733247,0.004703615250672469,975366.5885435512,67806.2334281613
345,58956827.17332468,0.004379374496576528,975366.5888467293,67806.23344923786
346,58956827.17332467,0.004077484660380603,975366.5891290079,67806.23346886151
347,58956827.17332466,0.0037964049843376385,975366.5893918277,67806.23348713241
348,58956827.173324645,0.0035347011256093505,975366.5896365303,67806.23350414382
349,58956827.17332464,0.003291037409656728,975366.5898643642,67806.23351998253
350,58956827.17332463,0.003064170332447297,975366.5900764925,67806.23353472943
351,58956827.17332462,0.002852942239166029,975366.5902739975,67806.23354845971
352,58956827.173324615,0.0026562748772056364,975366.5904578876,67806.23356124353
353,58956827.17332461,0.0024731643035799814,975366.5906291015,67806.23357314609
354,58956827.17332461,0.002302676284811945,975366.5907885128,67806.23358422816
355,58956827.1733246,0.00214394069071269,975366.590936935,67806.23359454628
356,58956827.17332459,0.00199614734039974,975366.5910751257,67806.23360415311
357,58956827.17332459,0.0018585418116355446,975366.5912037905,67806.23361309773
358,58956827.173324585,0.0017304219968834133,975366.5913235857,67806.23362142574
359,58956827.173324585,0.0016111344177760674,975366.5914351225,67806.23362917964
360,58956827.17332458,0.0015000697610995564,975366.5915389706,67806.23363639902
361,58956827.17332458,0.0013966612293776302,975366.5916356598,67806.23364312074
362,58956827.17332458,0.0013003814450275627,975366.5917256834,67806.23364937905
363,58956827.17332457,0.0012107386032318875,975366.5918095014,67806.23365520597
364,58956827.17332457,0.001127275153194916,975366.5918875415,67806.23366063122
365,58956827.17332456,0.0010495654827694688,975366.5919602016,67806.23366568246
366,58956827.17332456,0.0009772127020545036,975366.5920278528,67806.23367038548
367,58956827.17332456,0.0009098474460432929,975366.5920908405,67806.23367476431
368,58956827.17332456,0.0008471261908595821,975366.592149486,67806.23367884126
369,58956827.17332456,0.0007887286741161185,975366.5922040886,67806.23368263716
370,58956827.17332456,0.0007343567081260291,975366.5922549273,67806.23368617141
371,58956827.17332456,0.0006837329787603284,975366.5923022613,67806.23368946201
372,58956827.17332456,0.0006365989823298206,975366.5923463323,67806.23369252577
373,58956827.17332456,0.0005927139766211661,975366.5923873654,67806.23369537834
374,58956827.17332456,0.0005518542037361042,975366.5924255699,67806.23369803427
375,58956827.17332456,0.0005138114672284314,975366.5924611405,67806.23370050709
376,58956827.17332456,0.00047839117488301903,975366.5924942588,67806.23370280943
377,58956827.17332456,0.0004454125283560173,975366.5925250944,67806.23370495308
378,58956827.17332456,0.00041470741914694073,975366.5925538039,67806.23370694893
379,58956827.17332456,0.0003861190410073689,975366.5925805345,67806.23370880721
380,58956827.17332456,0.0003595013047082295,975366.5926054224,67806.23371053737
381,58956827.17332456,0.00033471845845853233,975366.5926285945,67806.23371214827
382,58956827.17332456,0.0003116441861711183,975366.5926501693,67806.23371364812
383,58956827.17332456,0.0002901604824492441,975366.5926702567,67806.23371504458
384,58956827.17332456,0.00027015770821103987,975366.5926889596,67806.23371634478
385,58956827.17332456,0.0002515339450946825,975366.592706373,67806.23371755534
386,58956827.17332456,0.00023419409219070962,975366.5927225859,67806.23371868244
387,58956827.17332456,0.00021804952476609521,975366.5927376812,67806.23371973186
388,58956827.17332456,0.00020301789123580236,975366.5927517359,67806.23372070891
389,58956827.17332456,0.00018902255438819893,975366.5927648217,67806.23372161861
390,58956827.17332456,0.00017599195306760695,975366.5927770054,67806.23372246562
391,58956827.17332456,0.0001638595849436513,975366.5927883493,67806.23372325422
392,58956827.17332456,0.00015256357280200706,975366.592798911,67806.23372398847
393,58956827.17332456,0.0001420463957111141,975366.5928087448,67806.23372467209
394,58956827.17332456,0.0001322541534187468,975366.5928179005,67806.23372530859
395,58956827.17332456,0.0001231369438913071,975366.5928264252,67806.23372590121
396,58956827.17332456,0.00011464827734625468,975366.5928343621,67806.23372645298
397,58956827.17332456,0.00010674466403753834,975366.592841752,67806.23372696672
398,58956827.17332456,9.938579092457232e-05,975366.5928486326,67806.23372744504
399,58956827.17332456,9.253423927182905e-05,975366.5928550389,67806.2337278904
400,58956827.17332456,8.615524234263067e-05,975366.5928610032,67806.23372830503
401,58956827.17332456,8.021613906735937e-05,975366.5928665564,67806.23372869108
402,58956827.17332456,7.46865705448452e-05,975366.5928717265,67806.23372905051
403,58956827.17332456,6.953822994087314e-05,975366.5928765403,67806.23372938515
404,58956827.17332456,6.47446456674214e-05,975366.5928810221,67806.23372969672
