date,t,s,i,r
2020-06-05,102,59026915.34487688,97522.43552177325,875562.2196012975
2020-06-06,103,59026184.01862062,93701.31106228963,880114.6703170431
2020-06-07,104,59025507.68119235,90004.19628297011,884488.1225246289
2020-06-08,105,59024882.37263114,86429.19048748979,888688.4368813207
2020-06-09,106,59024304.39842036,82974.22213956746,892721.3794400148
2020-06-10,107,59023770.31376666,79637.07226741398,896592.6139658777
2020-06-11,108,59023276.90886721,76415.3956510394,900307.6954816992
2020-06-12,109,59022821.194690906,73306.74057121186,903872.0647378288
2020-06-13,110,59022400.38929545,70308.56716422373,907291.0435402775
2020-06-14,111,59022011.905067116,67418.26392660629,910569.8310062282
2020-06-15,112,59021653.336286716,64633.16322687111,913713.5004863653
2020-06-16,113,59021322.44755058,61950.555202982585,916726.9972463942
2020-06-17,114,59021017.16272996,59367.70050139113,919615.1367685976
2020-06-18,115,59020735.55437354,56881.8420272849,922382.6035991249
2020-06-19,116,59020475.83405079,54490.2151606176,925033.9507885445
2020-06-20,117,59020236.3429843,52190.05725434673,927573.5997613042
2020-06-21,118,59020015.543170474,49978.616224855476,930005.8406046119
2020-06-22,119,59019812.009286925,47853.157964515565,932334.8327485073
2020-06-23,120,59019624.42085394,45810.97315383067,934564.6059921746
2020-06-24,121,59019451.55492622,43849.383245136436,936699.0618285994
2020-06-25,122,59019292.27940525,41965.74556169832,938741.9750330042
2020-06-26,123,59019145.54654034,40157.45796704392,940696.9954925623
2020-06-27,124,59019010.38695622,38421.9628104337,942567.6502332991
2020-06-28,125,59018885.904129125,36756.750272630234,944357.3455981988
2020-06-29,126,59018771.2690871,35159.36128388267,946069.3696289719
2020-06-30,127,59018665.71555472,33627.389916272536,947706.8945289528
2020-07-01,128,59018568.535437554,32158.48534505778,949272.9792173322
2020-07-02,129,59018479.07452651,30750.353446291127,950770.5720271458
2020-07-03,130,59018396.728570566,29400.758010568414,952202.5134188116
2020-07-04,131,59018320.93960337,28107.52163734971,953571.5387592246
2020-07-05,132,59018251.19249431,26868.526345037346,954880.2811606026
2020-07-06,133,59018187.01178127,25681.713929639256,956131.2742890475
2020-07-07,134,59018127.958707504,24545.086072972434,957326.9552194802
2020-07-08,135,59018073.628462344,23456.70423167076,958469.6673059391
2020-07-09,136,59018023.64763584,22414.689365405146,959561.6629987067
2020-07-10,137,59017977.67184514,21417.221474560236,960605.1066802545
2020-07-11,138,59017935.383534074,20462.53899560366,961602.0774702725
2020-07-12,139,59017896.489936404,19548.938103455148,962554.5719600886
2020-07-13,140,59017860.72118461,18674.771837774137,963464.5069775629
2020-07-14,141,59017827.82855934,17838.44915478159,964333.7222858223
2020-07-15,142,59017797.58286574,17038.433968517693,965163.9831656923
2020-07-16,143,59017769.772933654,16273.24403836227,965956.9830279278
2020-07-17,144,59017744.20423138,15541.449787443515,966714.345981123
2020-07-18,145,59017720.69757492,14841.673138369539,967437.6292866576
2020-07-19,146,59017699.08793335,14172.586300786657,968128.3257658136
2020-07-20,147,59017679.22334217,13532.910453851993,968787.8662039222
2020-07-21,148,59017660.9638832,12921.414474810117,969417.6216419428
