date,t,R0=0.5,R0=1,R0=1.1,R0=1.2
2020-06-20,117,88558.9617964795,219769.18429529257,263373.50392924814,315514.2614833096
2020-06-21,118,86438.50886306266,219533.76637257915,264299.19993870694,318068.2252348182
2020-06-22,119,84368.76036272022,219296.82226669564,265225.0209898891,320637.4548703831
2020-06-23,120,82348.50675775229,219058.35969268947,266150.93535558303,323221.94435458665
2020-06-24,121,80376.56756677006,218818.38639817567,267076.91112070554,325821.68555992574
2020-06-25,122,78451.79033944526,218576.91016281163,268002.9161792346,328436.66820311494
2020-06-26,123,76573.05003157786,218333.93879608167,268928.9181784584,331066.8799117305
2020-06-27,124,74739.24830883867,218089.4801387029,269854.88455410535,333712.30614485074
2020-06-28,125,72949.31264211662,217843.54206276423,270780.78253201867,336372.9301565372
2020-06-29,126,71202.1961008897,217596.13247030825,271706.57912962517,339048.73296109383
2020-06-30,127,69496.87660868283,217347.2592928151,272632.2411574518,341739.6932980304
2020-07-01,128,67832.35641030368,217096.93049068423,273557.7352206887,344445.7875967287
2020-07-02,129,66207.6614765843,216845.15405271386,274483.0277207995,347166.9899408125
2020-07-03,130,64621.84092778909,216591.93799557872,275408.0848571789,349903.27202170447
2020-07-04,131,63073.966500278744,216337.29036330557,276332.87262885686,352654.6030797409
2020-07-05,132,61563.13197928276,216081.21922674665,277257.35683625,355420.94991751976
2020-07-06,133,60088.452725408046,215823.73268305112,278181.5030829603,358202.27684312785
2020-07-07,134,58649.06516331767,215564.83885513447,279105.27676999354,360998.54563026683
2020-07-08,135,57244.126252389346,215304.54589114588,280028.6430961244,363809.71548019105
2020-07-09,136,55872.812996795146,215042.86196393354,280951.5670781206,366635.74298331817
2020-07-10,137,54534.32201113168,214779.79527050775,281874.0135426514,369476.58208051283
2020-07-11,138,53227.86904337159,214515.35403150233,282795.9471280391,372332.1840240429
2020-07-12,139,51952.68850012675,214249.54649063412,283717.3322862438,375202.49738962797
2020-07-13,140,50708.03302921971,213982.38092257216,284638.1332848916,378087.4682385177
2020-07-14,141,49493.17309274308,213713.86562643095,285558.31420934724,380987.03971874976
2020-07-15,142,48307.39652296697,213444.00891634615,286477.83896482945,383901.1521415984
2020-07-16,143,47150.00809000943,213172.81912787003,287396.67127857154,386829.74297188607
2020-07-17,144,46020.329166814496,212900.30461745302,288314.77470202424,389772.74679158133
2020-07-18,145,44917.69732038389,212626.47376192408,289232.11261310364,392730.0952632866
2020-07-19,146,43841.46593807887,212351.33495796987,290148.64821848215,395701.7170936146
2020-07-20,147,42791.00379264855,212074.89662161257,291064.34454728226,398687.53799645434
2020-07-21,148,41765.69461745726,211797.16718768704,291979.16444833693,401687.4806816415
2020-07-22,149,40764.93691593872,211518.15510931614,292893.07061866915,404701.4649942823
2020-07-23,150,39788.143554325725,211237.86885738553,293806.0255926583,407729.4076116261
2020-07-24,151,38834.74142861792,210956.31692001686,294717.99174395844,410771.2220674142
2020-07-25,152,37904.17107973814,210673.50780204005,295628.93128792703,413826.8187498414
2020-07-26,153,36995.88632411519,210389.4500244642,296538.80628409376,416896.1048677218
2020-07-27,154,36109.35407389485,210104.15212394754,297447.5786386685,419978.984416712
2020-07-28,155,35244.053979312834,209817.62265226615,298355.21010708896,423075.35814559227
2020-07-29,156,34399.47813380761,209529.87017578137,299261.6622966078,426185.1235226051
2020-07-30,157,33575.13072673846,209240.90328296108,300166.89666891936,429308.17471442797
2020-07-31,158,32770.52771639631,208950.73058327255,301070.87454282603,432444.4027126929
2020-08-01,159,31985.196676465548,208659.36068929525,301973.55709694396,435593.69509382296
2020-08-02,160,31218.676475207973,208366.80222656898,302874.90537364077,438755.93600533693
2020-08-03,161,30470.517013835506,208073.06383323058,303774.8802830843,441931.0061747951
2020-08-04,162,29740.278916283216,207778.15415951674,304673.44260161335,445118.7828795761
2020-08-05,163,29027.533242676327,207482.08186726668,305570.55297671125,448319.13991685834
2020-08-06,164,28331.861350873394,207184.8556294249,306466.1719300512,451531.9475738059
2020-08-07,165,27652.8546119129,206886.48412954385,307360.25986045913,454757.0725979587
2020-08-08,166,26990.114177986088,206586.9760612864,308252.77704691736,457994.3781745676
2020-08-09,167,26343.25070601148,206286.34012792865,309143.68365160725,461243.7240813066
2020-08-10,168,25711.884107202182,205984.5850418622,310032.93972299364,464504.96646168776
2020-08-11,169,25095.64342106579,205681.71952409693,310920.50519894826,467777.957770325
2020-08-12,170,24494.166563780207,205377.75230376318,311806.33990991383,471062.54680979147
2020-08-13,171,23907.100122588177,205072.69211761435,312690.40358210856,474358.57870585466
2020-08-14,172,23334.09910804356,204766.54770952914,313572.65584077063,477665.8948830885
2020-08-15,173,22774.826734503906,204459.327830014,314453.05621262855,480984.3330408624
2020-08-16,174,22228.954308170367,204151.04123983192,315331.5641279033,484313.72712970804
2020-08-17,175,21696.161003386096,203841.69671301477,316208.13892740395,487653.9073100779
2020-08-18,176,21176.13368035784,203531.30302122014,317082.7398642974,491004.70021142485
2020-08-19,177,20668.56666402199,203219.86894079595,317955.32610739407,494365.9285941213
2020-08-20,178,20173.161552307884,202907.40325271344,318825.85674461763,497737.4113616621
2020-08-21,179,19689.62711482936,202593.914742099,319694.2907865148,501118.96359130583
2020-08-22,180,19217.67909489223,202279.41219776674,320560.58716980455,504510.39651722554
2020-08-23,181,18757.04004794612,201963.9044117517,321424.7047609669,507911.5175141026
2020-08-24,182,18307.439143956915,201647.40017884396,322286.6023598718,511322.13008118677
2020-08-25,183,17868.611999989454,201329.90829612353,323146.23870344716,514742.0338268423
2020-08-26,184,17440.300588930662,201011.43756249576,324003.57246938726,518171.02445363556
2020-08-27,185,17022.253064125744,200691.99677822777,324858.5622798998,521608.89392641303
2020-08-28,186,16614.223616204843,200371.5947444854,325711.1667026091,525055.4303720925
2020-08-29,187,16215.972296499529,200050.2402628711,326561.3442476906,528510.4178762446
2020-08-30,188,15827.264871027573,199727.9421349625,327409.0533878727,531973.6366047299
2020-08-31,189,15447.872738103704,199404.70916185164,328254.2525558427,535444.8627969583
2020-09-01,190,15077.572773119651,199080.55014368513,329096.9001472874,538923.868760191
2020-09-02,191,14716.147201656388,198755.47388164114,329936.9545248117,542410.4228649205
