,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,May 13 2018,,2712.97,,2733.37,,2742.10,,2701.91,,-,,-0.54%,
,May 06 2018,,2727.72,,2669.36,,2732.86,,2655.20,,-,,2.41%,
,Apr 29 2018,,2663.42,,2675.05,,2682.92,,2594.62,,-,,-0.24%,
,Apr 22 2018,,2669.91,,2675.40,,2683.55,,2612.67,,-,,-0.01%,
,Apr 15 2018,,2670.14,,2670.10,,2717.49,,2660.61,,-,,0.52%,
,Apr 08 2018,,2656.30,,2617.18,,2680.26,,2610.79,,-,,1.99%,
,Apr 01 2018,,2604.47,,2633.45,,2672.08,,2553.80,,-,,-1.38%,
,Mar 25 2018,,2640.87,,2619.35,,2674.78,,2593.06,,-,,2.03%,
,Mar 18 2018,,2588.26,,2741.38,,2741.38,,2585.89,,-,,-5.95%,
,Mar 11 2018,,2752.01,,2790.54,,2801.90,,2741.47,,-,,-1.24%,
,Mar 04 2018,,2786.57,,2681.06,,2786.57,,2675.75,,-,,3.54%,
,Feb 25 2018,,2691.25,,2757.37,,2789.15,,2647.32,,-,,-2.04%,
,Feb 18 2018,,2747.30,,2722.99,,2747.76,,2697.77,,-,,0.55%,
,Feb 11 2018,,2732.22,,2636.75,,2754.42,,2622.45,,-,,4.30%,
,Feb 04 2018,,2619.55,,2741.06,,2763.39,,2532.69,,-,,-5.16%,
,Jan 28 2018,,2762.13,,2867.23,,2870.62,,2759.97,,-,,-3.85%,
,Jan 21 2018,,2872.87,,2809.16,,2872.87,,2808.12,,-,,2.23%,
,Jan 14 2018,,2810.30,,2798.96,,2810.33,,2768.64,,-,,0.86%,
,Jan 07 2018,,2786.24,,2742.67,,2787.85,,2736.06,,-,,1.57%,
,Dec 31 2017,,2743.15,,2683.73,,2743.45,,2682.36,,-,,2.60%,
,Dec 24 2017,,2673.61,,2679.09,,2692.12,,2673.61,,-,,-0.36%,
,Dec 17 2017,,2683.34,,2685.92,,2694.97,,2676.11,,-,,0.28%,
,Dec 10 2017,,2675.81,,2652.19,,2679.63,,2651.47,,-,,0.92%,
,Dec 03 2017,,2651.50,,2657.19,,2665.19,,2624.75,,-,,0.35%,
,Nov 26 2017,,2642.22,,2602.66,,2657.74,,2598.87,,-,,1.53%,
,Nov 19 2017,,2602.42,,2579.49,,2604.21,,2578.24,,-,,0.91%,
,Nov 12 2017,,2578.85,,2576.53,,2590.09,,2557.45,,-,,-0.13%,
,Nov 05 2017,,2582.30,,2587.47,,2597.02,,2566.33,,-,,-0.21%,
,Oct 29 2017,,2587.84,,2577.75,,2588.42,,2566.17,,-,,0.26%,
,Oct 22 2017,,2581.07,,2578.08,,2582.98,,2544.00,,-,,0.23%,
,Oct 15 2017,,2575.21,,2555.57,,2575.44,,2547.92,,-,,0.86%,
,Oct 08 2017,,2553.17,,2551.39,,2557.65,,2541.60,,-,,0.15%,
,Oct 01 2017,,2549.33,,2521.20,,2552.51,,2520.40,,-,,1.19%,
,Sep 24 2017,,2519.36,,2499.39,,2519.44,,2488.03,,-,,0.68%,
,Sep 17 2017,,2502.22,,2502.51,,2508.85,,2496.54,,-,,0.08%,
,Sep 10 2017,,2500.23,,2474.52,,2500.23,,2474.52,,-,,1.58%,
,Sep 03 2017,,2461.43,,2470.35,,2471.97,,2446.55,,-,,-0.61%,
,Aug 27 2017,,2476.55,,2447.35,,2480.38,,2428.20,,-,,1.37%,
,Aug 20 2017,,2443.05,,2425.50,,2454.77,,2417.35,,-,,0.72%,
,Aug 13 2017,,2425.55,,2454.96,,2474.93,,2420.69,,-,,-0.65%,
