,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,May 14 2017,,482.86,,481.51,,483.35,,481.12,,-,,0.26%,
,May 07 2017,,481.59,,481.94,,481.94,,480.63,,-,,-0.23%,
,Apr 30 2017,,482.70,,483.68,,483.74,,482.70,,-,,-0.22%,
,Apr 23 2017,,483.78,,482.93,,483.78,,482.71,,-,,-0.40%,
,Apr 16 2017,,485.70,,487.24,,487.24,,485.42,,-,,-0.37%,
,Apr 09 2017,,487.48,,486.22,,487.48,,486.22,,-,,0.42%,
,Apr 02 2017,,485.42,,484.34,,485.53,,484.34,,-,,0.33%,
,Mar 26 2017,,483.82,,483.10,,484.13,,482.93,,-,,0.28%,
,Mar 19 2017,,482.45,,482.27,,483.05,,481.61,,-,,0.16%,
,Mar 12 2017,,481.69,,482.34,,482.77,,481.69,,-,,-0.29%,
,Mar 05 2017,,483.11,,485.19,,485.89,,483.11,,-,,-0.63%,
,Feb 26 2017,,486.17,,488.76,,488.76,,486.17,,-,,-0.49%,
,Feb 19 2017,,488.56,,485.88,,488.56,,485.88,,-,,0.55%,
,Feb 12 2017,,485.91,,485.07,,485.91,,484.54,,-,,0.15%,
,Feb 05 2017,,485.19,,483.51,,485.38,,483.51,,-,,0.54%,
,Jan 29 2017,,482.59,,481.28,,482.59,,481.28,,-,,0.21%,
,Jan 22 2017,,481.56,,483.00,,483.48,,481.21,,-,,-0.36%,
,Jan 15 2017,,483.28,,484.93,,485.68,,483.28,,-,,-0.20%,
,Jan 08 2017,,484.23,,483.22,,484.23,,483.22,,-,,0.13%,
,Jan 01 2017,,483.62,,485.59,,485.59,,483.62,,-,,-0.35%,
,Dec 25 2016,,485.31,,484.44,,485.31,,484.44,,-,,0.34%,
,Dec 18 2016,,483.67,,483.40,,484.11,,483.40,,-,,0.06%,
,Dec 11 2016,,483.36,,482.05,,483.36,,482.05,,-,,0.22%,
,Dec 04 2016,,482.31,,482.81,,482.81,,481.16,,-,,-0.08%,
,Nov 27 2016,,482.71,,484.57,,484.87,,482.71,,-,,-0.27%,
,Nov 20 2016,,484.00,,482.41,,484.23,,482.41,,-,,0.43%,
,Nov 13 2016,,481.94,,481.52,,482.46,,481.52,,-,,-0.09%,
,Nov 06 2016,,482.35,,485.57,,485.63,,482.35,,-,,-0.67%,
,Oct 30 2016,,485.62,,485.28,,486.05,,484.73,,-,,0.09%,
,Oct 23 2016,,485.19,,488.56,,488.56,,485.19,,-,,-0.67%,
,Oct 16 2016,,488.46,,487.07,,488.46,,487.07,,-,,0.19%,
,Oct 09 2016,,487.51,,488.05,,488.05,,487.51,,-,,-0.09%,
,Oct 02 2016,,487.97,,490.52,,490.52,,487.97,,-,,-0.75%,
,Sep 25 2016,,491.66,,490.45,,491.66,,490.45,,-,,0.30%,
,Sep 18 2016,,490.17,,488.91,,490.17,,488.91,,-,,0.17%,
,Sep 11 2016,,489.34,,487.90,,489.34,,487.88,,-,,-0.03%,
,Sep 04 2016,,489.48,,490.40,,491.35,,489.48,,-,,-0.27%,
,Aug 28 2016,,490.82,,490.45,,491.11,,490.34,,-,,0.02%,
,Aug 21 2016,,490.73,,490.38,,491.02,,490.38,,-,,-0.05%,
,Aug 14 2016,,491.00,,491.40,,491.40,,490.15,,-,,-0.04%,
,Aug 07 2016,,491.21,,490.55,,491.57,,490.55,,-,,0.03%,
,Jul 31 2016,,491.06,,491.27,,491.27,,490.03,,-,,0.16%,
,Jul 24 2016,,490.30,,489.37,,490.72,,489.37,,-,,0.15%,
,Jul 17 2016,,489.57,,489.93,,490.19,,489.46,,-,,-0.11%,
,Jul 10 2016,,490.12,,491.82,,491.82,,490.12,,-,,-0.22%,
,Jul 03 2016,,491.21,,489.88,,491.63,,489.88,,-,,0.27%,
,Jun 26 2016,,489.89,,489.42,,489.89,,489.26,,-,,0.17%,
,Jun 19 2016,,489.05,,486.57,,489.05,,486.18,,-,,0.34%,
,Jun 12 2016,,487.37,,486.47,,487.58,,486.47,,-,,0.23%,
,Jun 05 2016,,486.25,,485.64,,486.25,,485.38,,-,,0.22%,
,May 29 2016,,485.19,,484.18,,485.19,,483.92,,-,,0.04%,
,May 22 2016,,484.99,,484.44,,484.99,,483.85,,-,,0.22%,
,May 15 2016,,483.94,,484.25,,484.60,,483.71,,-,,-0.20%,
,May 08 2016,,484.92,,484.47,,485.19,,484.47,,-,,0.09%,
,May 01 2016,,484.49,,482.45,,484.49,,482.45,,-,,0.35%,
,Apr 24 2016,,482.81,,483.38,,483.38,,481.79,,-,,-0.05%,
,Apr 17 2016,,483.05,,484.70,,484.70,,483.05,,-,,-0.27%,
,Apr 10 2016,,484.34,,485.20,,485.20,,484.16,,-,,-0.11%,
,Apr 03 2016,,484.89,,483.84,,484.89,,483.84,,-,,0.29%,
,Mar 27 2016,,483.51,,483.73,,483.88,,483.51,,-,,0.01%,
,Mar 20 2016,,483.44,,483.27,,483.44,,482.42,,-,,0.12%,
,Mar 13 2016,,482.87,,482.04,,482.87,,480.92,,-,,0.43%,
,Mar 06 2016,,480.82,,483.13,,483.87,,480.82,,-,,-0.55%,
,Feb 28 2016,,483.47,,484.61,,484.64,,483.01,,-,,-0.10%,
,Feb 21 2016,,483.93,,483.63,,484.53,,483.63,,-,,0.05%,
,Feb 14 2016,,483.71,,482.95,,483.71,,482.78,,-,,-0.03%,
,Feb 07 2016,,483.84,,482.88,,484.20,,482.62,,-,,0.40%,
,Jan 31 2016,,481.93,,481.40,,481.93,,481.40,,-,,0.19%,
,Jan 24 2016,,481.03,,479.05,,481.03,,479.05,,-,,0.35%,
,Jan 17 2016,,479.36,,477.63,,479.36,,477.52,,-,,0.46%,
,Jan 10 2016,,477.18,,476.53,,477.18,,475.53,,-,,0.18%,
,Jan 03 2016,,476.30,,475.06,,477.03,,475.06,,-,,0.43%,
,Dec 27 2015,,474.24,,474.74,,475.81,,474.24,,-,,-0.16%,
,Dec 20 2015,,474.99,,475.80,,476.27,,474.99,,-,,-0.11%,
,Dec 13 2015,,475.53,,475.38,,475.53,,474.21,,-,,0.05%,
,Dec 06 2015,,475.31,,473.80,,475.31,,473.80,,-,,0.41%,
,Nov 29 2015,,473.38,,477.20,,477.95,,473.38,,-,,-0.81%,
,Nov 22 2015,,477.26,,475.98,,477.26,,475.98,,-,,0.16%,
,Nov 15 2015,,476.51,,475.34,,476.51,,475.34,,-,,0.37%,
,Nov 08 2015,,474.74,,472.16,,474.74,,472.16,,-,,0.09%,
,Nov 01 2015,,474.29,,474.88,,475.15,,474.29,,-,,-0.34%,
,Oct 25 2015,,475.90,,475.89,,477.04,,475.89,,-,,0.01%,
,Oct 18 2015,,475.87,,474.82,,475.87,,473.64,,-,,0.19%,
,Oct 11 2015,,474.96,,473.70,,475.03,,473.70,,-,,0.20%,
,Oct 04 2015,,473.99,,474.94,,474.94,,473.62,,-,,-0.13%,
,Sep 27 2015,,474.60,,473.44,,474.60,,473.44,,-,,0.29%,
,Sep 20 2015,,473.22,,470.68,,473.89,,470.68,,-,,0.18%,
,Sep 13 2015,,472.37,,473.36,,473.36,,469.96,,-,,-0.09%,
,Sep 06 2015,,472.79,,471.30,,472.79,,471.01,,-,,0.48%,
,Aug 30 2015,,470.54,,472.00,,472.00,,468.99,,-,,0.04%,
,Aug 23 2015,,470.37,,472.82,,472.82,,470.37,,-,,-0.52%,
,Aug 16 2015,,472.81,,473.59,,473.64,,472.29,,-,,-0.17%,
,Aug 09 2015,,473.62,,472.21,,473.73,,472.21,,-,,0.95%,
,Aug 02 2015,,469.14,,471.69,,472.52,,468.89,,-,,-0.56%,
,Jul 26 2015,,471.80,,471.45,,471.80,,470.82,,-,,0.23%,
,Jul 19 2015,,470.70,,470.10,,470.74,,469.76,,-,,0.24%,
,Jul 12 2015,,469.56,,467.13,,469.56,,467.13,,-,,0.21%,
,Jul 05 2015,,468.56,,470.35,,471.30,,468.56,,-,,-0.15%,
,Jun 28 2015,,469.27,,468.51,,469.27,,468.35,,-,,0.43%,
,Jun 21 2015,,467.27,,467.84,,467.84,,466.98,,-,,-0.26%,
,Jun 14 2015,,468.47,,467.52,,469.59,,467.52,,-,,0.53%,
,Jun 07 2015,,466.02,,466.73,,466.73,,464.32,,-,,-0.15%,
,May 31 2015,,466.72,,472.56,,472.56,,465.51,,-,,-1.18%,
,May 24 2015,,472.27,,469.89,,472.27,,469.89,,-,,0.32%,
,May 17 2015,,470.77,,468.28,,470.77,,468.28,,-,,0.59%,
,May 10 2015,,468.01,,469.16,,469.16,,466.89,,-,,-0.28%,
,May 03 2015,,469.32,,472.35,,472.35,,467.89,,-,,-0.78%,
,Apr 26 2015,,472.99,,475.92,,476.80,,472.99,,-,,-0.58%,
,Apr 19 2015,,475.76,,477.38,,477.54,,475.76,,-,,-0.38%,
,Apr 12 2015,,477.56,,476.09,,477.56,,476.09,,-,,0.27%,
,Apr 05 2015,,476.29,,475.49,,476.32,,475.49,,-,,0.15%,
,Mar 29 2015,,475.58,,475.56,,475.66,,475.14,,-,,0.14%,
