,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Jul 26 2015,,1765.60,,1744.46,,1770.75,,1729.63,,-,,1.15%,
,Jul 19 2015,,1745.50,,1779.45,,1783.61,,1744.21,,-,,-1.98%,
,Jul 12 2015,,1780.83,,1743.86,,1783.14,,1743.83,,-,,2.15%,
,Jul 05 2015,,1743.32,,1739.90,,1744.75,,1701.58,,-,,-0.07%,
,Jun 28 2015,,1744.49,,1773.06,,1773.23,,1732.65,,-,,-1.79%,
,Jun 21 2015,,1776.22,,1775.82,,1799.45,,1773.89,,-,,0.08%,
,Jun 14 2015,,1774.88,,1767.48,,1783.99,,1751.03,,-,,0.27%,
,Jun 07 2015,,1770.17,,1761.43,,1785.09,,1744.97,,-,,0.55%,
,May 31 2015,,1760.43,,1778.43,,1794.84,,1754.39,,-,,-1.06%,
,May 24 2015,,1779.31,,1802.88,,1804.75,,1777.56,,-,,-1.34%,
,May 17 2015,,1803.50,,1806.95,,1813.90,,1801.27,,-,,-0.20%,
,May 10 2015,,1807.06,,1795.95,,1808.12,,1776.99,,-,,0.69%,
,May 03 2015,,1794.70,,1786.19,,1796.92,,1761.37,,-,,0.41%,
,Apr 26 2015,,1787.40,,1800.03,,1809.33,,1775.88,,-,,-0.69%,
,Apr 19 2015,,1799.86,,1770.26,,1801.73,,1767.59,,-,,1.74%,
,Apr 12 2015,,1769.01,,1778.83,,1794.29,,1765.03,,-,,-0.59%,
,Apr 05 2015,,1779.47,,1755.99,,1779.47,,1752.00,,-,,1.67%,
,Mar 29 2015,,1750.26,,1744.39,,1760.00,,1730.61,,-,,0.31%,
,Mar 22 2015,,1744.82,,1776.48,,1783.37,,1735.86,,-,,-1.68%,
,Mar 15 2015,,1774.57,,1718.81,,1780.63,,1717.93,,-,,3.18%,
,Mar 08 2015,,1719.82,,1741.83,,1744.45,,1708.72,,-,,-1.27%,
,Mar 01 2015,,1741.99,,1771.04,,1778.75,,1739.92,,-,,-1.74%,
,Feb 22 2015,,1772.86,,1768.36,,1780.31,,1764.76,,-,,0.27%,
,Feb 15 2015,,1768.09,,1752.25,,1768.70,,1747.26,,-,,0.91%,
,Feb 08 2015,,1752.18,,1718.97,,1752.18,,1711.54,,-,,1.84%,
,Feb 01 2015,,1720.55,,1678.78,,1730.49,,1671.69,,-,,2.56%,
,Jan 25 2015,,1677.54,,1704.86,,1717.91,,1676.22,,-,,-1.77%,
,Jan 18 2015,,1707.74,,1676.72,,1714.74,,1676.20,,-,,1.95%,
,Jan 11 2015,,1675.15,,1685.40,,1695.22,,1653.36,,-,,-0.51%,
,Jan 04 2015,,1683.80,,1700.49,,1702.53,,1649.83,,-,,-1.23%,
,Dec 28 2014,,1704.71,,1729.60,,1733.31,,1697.34,,-,,-1.43%,
,Dec 21 2014,,1729.42,,1715.81,,1731.45,,1715.77,,-,,0.72%,
,Dec 14 2014,,1717.00,,1675.64,,1719.50,,1647.48,,-,,2.51%,
,Dec 07 2014,,1675.04,,1737.38,,1739.08,,1674.47,,-,,-3.65%,
,Nov 30 2014,,1738.52,,1737.97,,1742.19,,1727.01,,-,,-0.06%,
,Nov 23 2014,,1739.50,,1735.73,,1748.00,,1735.73,,-,,0.13%,
,Nov 16 2014,,1737.24,,1718.51,,1741.45,,1710.30,,-,,1.17%,
,Nov 09 2014,,1717.20,,1709.47,,1720.97,,1708.24,,-,,0.60%,
,Nov 02 2014,,1707.01,,1706.17,,1710.45,,1691.79,,-,,-0.06%,
,Oct 26 2014,,1708.09,,1668.07,,1708.29,,1658.38,,-,,2.41%,
,Oct 19 2014,,1667.88,,1612.25,,1668.22,,1612.16,,-,,3.37%,
,Oct 12 2014,,1613.56,,1627.80,,1634.96,,1571.81,,-,,-0.81%,
,Oct 05 2014,,1626.68,,1675.10,,1688.05,,1626.52,,-,,-2.90%,
,Sep 28 2014,,1675.29,,1706.71,,1707.82,,1657.48,,-,,-1.91%,
,Sep 21 2014,,1707.87,,1740.58,,1740.92,,1698.08,,-,,-1.86%,
,Sep 14 2014,,1740.32,,1729.86,,1748.02,,1721.64,,-,,0.63%,
,Sep 07 2014,,1729.50,,1749.52,,1749.76,,1727.14,,-,,-1.21%,
,Aug 31 2014,,1750.61,,1746.98,,1757.31,,1740.96,,-,,0.11%,
,Aug 24 2014,,1748.67,,1735.20,,1751.57,,1734.88,,-,,0.73%,
,Aug 17 2014,,1735.94,,1715.04,,1742.80,,1714.73,,-,,1.27%,
,Aug 10 2014,,1714.24,,1691.03,,1724.28,,1690.84,,-,,1.40%,
,Aug 03 2014,,1690.57,,1704.58,,1712.23,,1675.51,,-,,-0.89%,
,Jul 27 2014,,1705.73,,1747.72,,1753.18,,1701.04,,-,,-2.43%,
,Jul 20 2014,,1748.23,,1745.17,,1758.05,,1735.45,,-,,0.23%,
,Jul 13 2014,,1744.29,,1736.41,,1752.70,,1731.14,,-,,0.48%,
,Jul 06 2014,,1736.00,,1763.05,,1763.22,,1727.42,,-,,-1.56%,
,Jun 29 2014,,1763.44,,1741.50,,1765.77,,1739.86,,-,,1.30%,
,Jun 22 2014,,1740.86,,1748.52,,1749.86,,1729.09,,-,,-0.38%,
,Jun 15 2014,,1747.43,,1727.46,,1749.97,,1722.83,,-,,1.17%,
,Jun 08 2014,,1727.21,,1735.72,,1738.30,,1721.14,,-,,-0.42%,
,Jun 01 2014,,1734.47,,1715.37,,1734.93,,1711.47,,-,,1.12%,
,May 25 2014,,1715.18,,1698.93,,1715.18,,1698.62,,-,,1.02%,
,May 18 2014,,1697.94,,1683.50,,1698.00,,1675.46,,-,,0.85%,
,May 11 2014,,1683.69,,1683.15,,1700.75,,1675.99,,-,,0.02%,
,May 04 2014,,1683.36,,1689.41,,1694.08,,1673.07,,-,,-0.33%,
,Apr 27 2014,,1688.99,,1669.56,,1694.08,,1663.45,,-,,1.09%,
,Apr 20 2014,,1670.76,,1669.38,,1684.74,,1668.08,,-,,0.01%,
,Apr 13 2014,,1670.60,,1636.90,,1671.15,,1631.22,,-,,1.96%,
,Apr 06 2014,,1638.43,,1675.40,,1680.38,,1637.89,,-,,-2.26%,
,Mar 30 2014,,1676.25,,1662.04,,1692.85,,1662.04,,-,,0.87%,
,Mar 23 2014,,1661.84,,1653.63,,1667.98,,1641.23,,-,,0.51%,
,Mar 16 2014,,1653.38,,1640.70,,1667.19,,1638.85,,-,,0.75%,
,Mar 09 2014,,1641.13,,1681.30,,1682.38,,1638.40,,-,,-2.38%,
,Mar 02 2014,,1681.17,,1675.23,,1690.03,,1648.96,,-,,0.34%,
,Feb 23 2014,,1675.40,,1659.69,,1679.93,,1657.90,,-,,0.94%,
,Feb 16 2014,,1659.85,,1651.22,,1664.74,,1645.65,,-,,0.59%,
,Feb 09 2014,,1650.12,,1611.38,,1652.15,,1611.37,,-,,2.38%,
,Feb 02 2014,,1611.78,,1598.53,,1612.55,,1560.35,,-,,0.83%,
