0,1,2,3,4,5,6,7,8
135,1.71,14.98,8.760233918128655,0.0,20.0,10.0,50.0,20.0
136,2.0500000000000003,15.6,7.609756097560974,0.0,20.0,10.0,60.0,10.0
137,2.36,16.26,6.889830508474577,0.0,20.0,10.0,70.0,0.0
138,0.37,26.91,72.72972972972973,0.0,20.0,20.0,0.0,60.0
139,0.7799999999999999,22.05,28.269230769230774,0.0,20.0,20.0,10.0,50.0
140,1.1800000000000002,17.05,14.44915254237288,0.0,20.0,20.0,20.0,40.0
141,1.5499999999999998,13.62,8.787096774193548,0.0,20.0,20.0,30.0,30.0
142,1.9100000000000001,14.08,7.371727748691099,0.0,20.0,20.0,40.0,20.0
143,2.24,14.68,6.553571428571428,0.0,20.0,20.0,50.0,10.0
144,2.56,15.33,5.98828125,0.0,20.0,20.0,60.0,0.0
145,0.9799999999999999,21.1,21.530612244897963,0.0,20.0,30.0,0.0,50.0
146,1.37,16.05,11.715328467153284,0.0,20.0,30.0,10.0,40.0
147,1.75,12.73,7.274285714285715,0.0,20.0,30.0,20.0,30.0
148,2.1,13.19,6.280952380952381,0.0,20.0,30.0,30.0,20.0
149,2.43,13.76,5.662551440329218,0.0,20.0,30.0,40.0,10.0
150,2.75,14.41,5.24,0.0,20.0,30.0,50.0,0.0
151,1.5699999999999998,15.04,9.579617834394904,0.0,20.0,40.0,0.0,40.0
152,1.94,12.16,6.268041237113402,0.0,20.0,40.0,10.0,30.0
153,2.29,12.3,5.37117903930131,0.0,20.0,40.0,20.0,20.0
154,2.63,12.84,4.88212927756654,0.0,20.0,40.0,30.0,10.0
155,2.94,13.48,4.585034013605442,0.0,20.0,40.0,40.0,0.0
156,2.13,12.21,5.732394366197184,0.0,20.0,50.0,0.0,30.0
157,2.48,11.42,4.604838709677419,0.0,20.0,50.0,10.0,20.0
158,2.8200000000000003,11.92,4.2269503546099285,0.0,20.0,50.0,20.0,10.0
159,3.13,12.56,4.012779552715656,0.0,20.0,50.0,30.0,0.0
160,2.68,11.37,4.242537313432836,0.0,20.0,60.0,0.0,20.0
161,3.0100000000000002,11.0,3.6544850498338866,0.0,20.0,60.0,10.0,10.0
162,3.3200000000000003,11.64,3.5060240963855422,0.0,20.0,60.0,20.0,0.0
163,3.2,10.73,3.353125,0.0,20.0,70.0,0.0,10.0
164,3.5100000000000002,10.73,3.056980056980057,0.0,20.0,70.0,10.0,0.0
165,3.6999999999999997,10.34,2.794594594594595,0.0,20.0,80.0,0.0,0.0
166,-0.61,36.11,59.19672131147541,0.0,30.0,0.0,0.0,70.0
167,-0.16000000000000003,31.37,196.06249999999997,0.0,30.0,0.0,10.0,60.0
168,0.27,26.41,97.81481481481481,0.0,30.0,0.0,20.0,50.0
169,0.68,21.44,31.52941176470588,0.0,30.0,0.0,30.0,40.0
170,1.0699999999999998,17.01,15.897196261682247,0.0,30.0,0.0,40.0,30.0
171,1.44,17.46,12.125000000000002,0.0,30.0,0.0,50.0,20.0
172,1.7800000000000002,18.12,10.179775280898875,0.0,30.0,0.0,60.0,10.0
173,2.11,18.79,8.90521327014218,0.0,30.0,0.0,70.0,0.0
174,0.03999999999999998,30.52,763.0000000000003,0.0,30.0,10.0,0.0,60.0
175,0.47,25.5,54.255319148936174,0.0,30.0,10.0,10.0,50.0
176,0.88,20.48,23.272727272727273,0.0,30.0,10.0,20.0,40.0
177,1.27,16.08,12.661417322834644,0.0,30.0,10.0,30.0,30.0
178,1.63,16.54,10.147239263803682,0.0,30.0,10.0,40.0,20.0
179,1.98,17.19,8.681818181818182,0.0,30.0,10.0,50.0,10.0
180,2.3000000000000003,17.85,7.760869565217391,0.0,30.0,10.0,60.0,0.0
181,0.67,24.59,36.70149253731343,0.0,30.0,20.0,0.0,50.0
182,1.0699999999999998,19.51,18.23364485981309,0.0,30.0,20.0,10.0,40.0
183,1.46,15.78,10.808219178082192,0.0,30.0,20.0,20.0,30.0
184,1.83,15.61,8.530054644808743,0.0,30.0,20.0,30.0,20.0
185,2.17,16.27,7.497695852534562,0.0,30.0,20.0,40.0,10.0
186,2.5,16.92,6.768000000000001,0.0,30.0,20.0,50.0,0.0
187,1.27,18.63,14.669291338582676,0.0,30.0,30.0,0.0,40.0
188,1.6600000000000001,15.81,9.524096385542169,0.0,30.0,30.0,10.0,30.0
189,2.02,15.06,7.455445544554456,0.0,30.0,30.0,20.0,20.0
190,2.36,15.34,6.5,0.0,30.0,30.0,30.0,10.0
191,2.69,16.0,5.947955390334573,0.0,30.0,30.0,40.0,0.0
192,1.85,15.84,8.562162162162162,0.0,30.0,40.0,0.0,30.0
193,2.21,15.09,6.828054298642534,0.0,30.0,40.0,10.0,20.0
194,2.56,14.42,5.6328125,0.0,30.0,40.0,20.0,10.0
195,2.88,15.07,5.232638888888889,0.0,30.0,40.0,30.0,0.0
196,2.41,15.13,6.278008298755187,0.0,30.0,50.0,0.0,20.0
197,2.75,14.39,5.232727272727273,0.0,30.0,50.0,10.0,10.0
198,3.0700000000000003,14.15,4.609120521172638,0.0,30.0,50.0,20.0,0.0
199,2.94,14.43,4.908163265306122,0.0,30.0,60.0,0.0,10.0
200,3.2600000000000002,13.73,4.211656441717791,0.0,30.0,60.0,10.0,0.0
201,3.46,13.78,3.9826589595375723,0.0,30.0,70.0,0.0,0.0
202,-0.31000000000000005,34.02,109.74193548387096,0.0,40.0,0.0,0.0,60.0
203,0.13,29.18,224.46153846153845,0.0,40.0,0.0,10.0,50.0
204,0.5499999999999999,24.19,43.98181818181819,0.0,40.0,0.0,20.0,40.0
205,0.9500000000000001,20.0,21.052631578947366,0.0,40.0,0.0,30.0,30.0
206,1.33,19.05,14.32330827067669,0.0,40.0,0.0,40.0,20.0
207,1.6800000000000002,19.71,11.732142857142856,0.0,40.0,0.0,50.0,10.0
208,2.02,20.4,10.099009900990099,0.0,40.0,0.0,60.0,0.0
209,0.32999999999999996,28.3,85.75757575757576,0.0,40.0,10.0,0.0,50.0
210,0.7499999999999999,23.31,31.080000000000002,0.0,40.0,10.0,10.0,40.0
211,1.15,19.41,16.878260869565217,0.0,40.0,10.0,20.0,30.0
212,1.52,18.67,12.282894736842106,0.0,40.0,10.0,30.0,20.0
213,1.88,18.78,9.989361702127662,0.0,40.0,10.0,40.0,10.0
214,2.22,19.46,8.765765765765765,0.0,40.0,10.0,50.0,0.0
215,0.9500000000000001,22.45,23.631578947368418,0.0,40.0,20.0,0.0,40.0
216,1.3399999999999999,19.44,14.507462686567166,0.0,40.0,20.0,10.0,30.0
217,1.7200000000000002,18.69,10.866279069767442,0.0,40.0,20.0,20.0,20.0
218,2.08,17.96,8.634615384615385,0.0,40.0,20.0,30.0,10.0
219,2.41,18.52,7.684647302904564,0.0,40.0,20.0,40.0,0.0
220,1.54,19.46,12.636363636363637,0.0,40.0,30.0,0.0,30.0
221,1.92,18.72,9.75,0.0,40.0,30.0,10.0,20.0
222,2.27,17.99,7.92511013215859,0.0,40.0,30.0,20.0,10.0
223,2.6,17.59,6.765384615384615,0.0,40.0,30.0,30.0,0.0
224,2.11,18.74,8.881516587677725,0.0,40.0,40.0,0.0,20.0
225,2.46,18.01,7.321138211382115,0.0,40.0,40.0,10.0,10.0
226,2.8000000000000003,17.29,6.174999999999999,0.0,40.0,40.0,20.0,0.0
227,2.66,18.04,6.781954887218045,0.0,40.0,50.0,0.0,10.0
228,2.99,17.32,5.792642140468227,0.0,40.0,50.0,10.0,0.0
229,3.18,17.35,5.455974842767295,0.0,40.0,60.0,0.0,0.0
230,-0.040000000000000036,32.0,799.9999999999993,0.0,50.0,0.0,0.0,50.0
231,0.4,27.16,67.89999999999999,0.0,50.0,0.0,10.0,40.0
232,0.8099999999999999,22.96,28.34567901234568,0.0,50.0,0.0,20.0,30.0
233,1.2000000000000002,22.17,18.474999999999998,0.0,50.0,0.0,30.0,20.0
234,1.56,21.43,13.737179487179487,0.0,50.0,0.0,40.0,10.0
235,1.9100000000000001,22.11,11.575916230366492,0.0,50.0,0.0,50.0,0.0
236,0.59,26.26,44.50847457627119,0.0,50.0,10.0,0.0,40.0
237,1.0099999999999998,22.93,22.702970297029708,0.0,50.0,10.0,10.0,30.0
238,1.3900000000000001,22.19,15.964028776978417,0.0,50.0,10.0,20.0,20.0
239,1.7600000000000002,21.45,12.187499999999998,0.0,50.0,10.0,30.0,10.0
240,2.1,21.08,10.038095238095236,0.0,50.0,10.0,40.0,0.0
241,1.2000000000000002,22.95,19.124999999999996,0.0,50.0,20.0,0.0,30.0
242,1.5899999999999999,22.2,13.962264150943398,0.0,50.0,20.0,10.0,20.0
243,1.96,21.47,10.954081632653061,0.0,50.0,20.0,20.0,10.0
244,2.3000000000000003,20.98,9.121739130434781,0.0,50.0,20.0,30.0,0.0
245,1.79,22.22,12.413407821229049,0.0,50.0,30.0,0.0,20.0
246,2.15,21.49,9.995348837209303,0.0,50.0,30.0,10.0,10.0
247,2.5,20.96,8.384,0.0,50.0,30.0,20.0,0.0
248,2.35,21.51,9.153191489361703,0.0,50.0,40.0,0.0,10.0
249,2.69,20.95,7.788104089219331,0.0,50.0,40.0,10.0,0.0
250,2.89,20.93,7.242214532871972,0.0,50.0,50.0,0.0,0.0
251,0.21999999999999997,30.23,137.40909090909093,0.0,60.0,0.0,0.0,40.0
252,0.64,26.3,41.09375,0.0,60.0,0.0,10.0,30.0
253,1.04,25.54,24.557692307692307,0.0,60.0,0.0,20.0,20.0
254,1.42,24.81,17.471830985915492,0.0,60.0,0.0,30.0,10.0
255,1.77,24.54,13.864406779661016,0.0,60.0,0.0,40.0,0.0
256,0.84,26.31,31.32142857142857,0.0,60.0,10.0,0.0,30.0
257,1.2399999999999998,25.55,20.604838709677423,0.0,60.0,10.0,10.0,20.0
258,1.6099999999999999,24.83,15.422360248447205,0.0,60.0,10.0,20.0,10.0
259,1.9700000000000002,24.52,12.446700507614212,0.0,60.0,10.0,30.0,0.0
260,1.44,25.57,17.756944444444446,0.0,60.0,20.0,0.0,20.0
261,1.81,24.84,13.723756906077348,0.0,60.0,20.0,10.0,10.0
262,2.17,24.5,11.290322580645162,0.0,60.0,20.0,20.0,0.0
263,2.0100000000000002,24.85,12.36318407960199,0.0,60.0,30.0,0.0,10.0
264,2.37,24.48,10.329113924050633,0.0,60.0,30.0,10.0,0.0
265,2.56,24.45,9.55078125,0.0,60.0,40.0,0.0,0.0
266,0.44999999999999996,29.54,65.64444444444445,0.0,70.0,0.0,0.0,30.0
267,0.86,28.78,33.46511627906977,0.0,70.0,0.0,10.0,20.0
268,1.25,28.05,22.44,0.0,70.0,0.0,20.0,10.0
269,1.6099999999999999,27.92,17.3416149068323,0.0,70.0,0.0,30.0,0.0
270,1.06,28.78,27.150943396226413,0.0,70.0,10.0,0.0,20.0
271,1.4500000000000002,28.06,19.351724137931033,0.0,70.0,10.0,10.0,10.0
272,1.81,27.89,15.408839779005525,0.0,70.0,10.0,20.0,0.0
273,1.65,28.07,17.01212121212121,0.0,70.0,20.0,0.0,10.0
274,2.0100000000000002,27.86,13.860696517412933,0.0,70.0,20.0,10.0,0.0
275,2.21,27.84,12.597285067873303,0.0,70.0,30.0,0.0,0.0
276,0.65,31.89,49.06153846153846,0.0,80.0,0.0,0.0,20.0
277,1.0499999999999998,31.16,29.67619047619048,0.0,80.0,0.0,10.0,10.0
278,1.4300000000000002,31.15,21.78321678321678,0.0,80.0,0.0,20.0,0.0
279,1.25,31.16,24.928,0.0,80.0,10.0,0.0,10.0
280,1.63,31.12,19.092024539877304,0.0,80.0,10.0,10.0,0.0
281,1.83,31.09,16.989071038251364,0.0,80.0,20.0,0.0,0.0
282,0.84,34.14,40.642857142857146,0.0,90.0,0.0,0.0,10.0
283,1.2200000000000002,34.25,28.073770491803273,0.0,90.0,0.0,10.0,0.0
284,1.4300000000000002,34.22,23.930069930069926,0.0,90.0,10.0,0.0,0.0
285,0.9899999999999999,37.22,37.5959595959596,0.0,100.0,0.0,0.0,0.0
286,-0.49,37.23,75.97959183673468,10.0,0.0,0.0,0.0,90.0
287,-0.030000000000000027,32.45,1081.6666666666658,10.0,0.0,0.0,10.0,80.0
288,0.4,27.76,69.4,10.0,0.0,0.0,20.0,70.0
289,0.7999999999999999,22.86,28.575000000000003,10.0,0.0,0.0,30.0,60.0
290,1.19,17.76,14.924369747899162,10.0,0.0,0.0,40.0,50.0
291,1.56,13.75,8.814102564102564,10.0,0.0,0.0,50.0,40.0
292,1.9100000000000001,14.21,7.439790575916231,10.0,0.0,0.0,60.0,30.0
293,2.24,14.67,6.549107142857142,10.0,0.0,0.0,70.0,20.0
294,2.5500000000000003,15.14,5.937254901960784,10.0,0.0,0.0,80.0,10.0
295,2.8400000000000003,15.69,5.524647887323943,10.0,0.0,0.0,90.0,0.0
296,0.16000000000000003,31.6,197.49999999999997,10.0,0.0,10.0,0.0,80.0
297,0.59,26.86,45.525423728813564,10.0,0.0,10.0,10.0,70.0
298,0.9999999999999999,21.91,21.910000000000004,10.0,0.0,10.0,20.0,60.0
299,1.3900000000000001,16.76,12.057553956834532,10.0,0.0,10.0,30.0,50.0
300,1.75,12.87,7.354285714285714,10.0,0.0,10.0,40.0,40.0
301,2.1,13.32,6.3428571428571425,10.0,0.0,10.0,50.0,30.0
302,2.43,13.78,5.670781893004115,10.0,0.0,10.0,60.0,20.0
303,2.74,14.25,5.200729927007299,10.0,0.0,10.0,70.0,10.0
304,3.0300000000000002,14.76,4.871287128712871,10.0,0.0,10.0,80.0,0.0
305,0.7899999999999999,25.95,32.848101265822784,10.0,0.0,20.0,0.0,70.0
306,1.19,20.96,17.613445378151262,10.0,0.0,20.0,10.0,60.0
307,1.58,15.75,9.968354430379746,10.0,0.0,20.0,20.0,50.0
308,1.9500000000000002,11.99,6.148717948717948,10.0,0.0,20.0,30.0,40.0
309,2.29,12.44,5.432314410480349,10.0,0.0,20.0,40.0,30.0
310,2.62,12.9,4.923664122137405,10.0,0.0,20.0,50.0,20.0
311,2.93,13.36,4.559726962457337,10.0,0.0,20.0,60.0,10.0
312,3.22,13.84,4.298136645962733,10.0,0.0,20.0,70.0,0.0
313,1.3900000000000001,20.0,14.388489208633093,10.0,0.0,30.0,0.0,60.0
314,1.77,14.88,8.40677966101695,10.0,0.0,30.0,10.0,50.0
315,2.14,11.51,5.378504672897196,10.0,0.0,30.0,20.0,40.0
316,2.49,11.56,4.642570281124498,10.0,0.0,30.0,30.0,30.0
317,2.81,12.01,4.274021352313167,10.0,0.0,30.0,40.0,20.0
318,3.12,12.47,3.996794871794872,10.0,0.0,30.0,50.0,10.0
319,3.41,12.94,3.794721407624633,10.0,0.0,30.0,60.0,0.0
