t,s,i,r
174,228330.56928465495,79874.83905274115,59691794.59166255
175,228208.76132302065,74485.99987100824,59697305.23880592
176,228095.22986246485,69460.66782471207,59702444.102312766
177,227989.40893887912,64774.32973186979,59707236.2613292
178,227890.7717592751,60404.124472494776,59711705.10376818
179,227798.82793504215,56328.73185354889,59715872.440211356
180,227713.12090003965,52528.26873323499,59719758.61036667
181,227633.2255434907,48984.19237558442,59723382.58208087
182,227558.74599614364,45679.21007262245,59726762.04393118
183,227489.3135884499,42597.19500534695,59729913.49140615
184,227424.58494826252,39723.10767376354,59732852.30737792
185,227364.24024111306,37042.9226833834,59735592.83707545
186,227307.9815324769,34543.560374452696,59738148.458093025
187,227255.5312680259,32212.823083302297,59740531.64564862
188,227206.6308634288,30039.33573007559,59742754.03340644
189,227161.0393914707,28012.49036124316,59744826.47024724
190,227118.53236502962,26122.39446701218,59746759.073167905
191,227078.90060153214,24359.822706520943,59748561.27669189
192,227041.94917214534,22716.171985619807,59750241.87884217
193,227007.49641961182,21183.419453843333,59751809.08412648
194,226975.37304915255,19754.083426465328,59753270.54352431
195,226945.42127906607,18421.186862676506,59754633.39185819
196,226917.49405355527,17178.22337278843,59755904.28257359
197,226891.45430738662,16019.125444612047,59757089.420247935
198,226867.17428370597,14938.234869835416,59758194.59084639
199,226844.53489773,13930.275130874192,59759225.189971335
200,226823.42514516294,12990.32566839979,59760186.24918637
201,226803.74155094428,12113.797868472075,59761082.46058052
202,226785.38765599974,11296.412671621672,59761918.19967231
203,226768.27353969097,10534.179702535042,59762697.54675771
204,226752.31537435498,9823.377785847513,59763424.30683973
205,226737.4350113103,9160.536802646846,59764102.02818598
206,226723.5595942458,8542.420741022424,59764734.01966467
207,226710.62120013157,7966.011921629175,59765323.36687818
208,226698.55650354145,7428.496249804674,59765872.9472466
209,226687.30646502122,6927.249499312833,59766385.444035605
210,226676.81603983228,6459.824491172769,59766863.35946894
211,226667.0339072909,6023.939161394685,59767309.026931256
212,226657.9122179342,5617.465411709591,59767724.622370295
213,226649.4063584044,5238.418730029934,59768112.174911514
214,226641.4747320132,4884.948499109045,59768473.576768816
215,226634.07855441383,4555.328965389287,59768810.59248013
216,226627.18166311586,4247.9508150030215,59769124.867521815
217,226620.75033990663,3961.313316731502,59769417.9363433
218,226614.75314546,3694.016999322479,59769691.22985515
219,226609.16076495373,3444.756814440963,59769946.082420535
220,226603.9458644619,3212.3157722132105,59770183.73836326
221,226599.08295677803,2995.5589940874847,59770405.358049065
222,226594.54827665343,2793.428179040307,59770612.02354424
223,226590.31966417137,2604.936430432578,59770804.743905336
224,226586.376456336,2429.163444176922,59770984.46009942
225,226582.699385738,2265.2510107717358,59771152.04960343
226,226579.27048630436,2112.3988296206494,59771308.330684006
227,226576.07300525994,1969.8605988215181,59771454.06639586
228,226573.0913211781,1836.9403740155026,59771589.96830474
229,226570.31086748894,1712.9891691779785,59771716.699963264
230,226567.7180612095,1597.4017886457066,59771834.88015007
231,226565.30023649422,1489.6138727850607,59771945.08589065
232,226563.04558265273,1389.0991418470471,59772047.85527543
233,226560.94308641242,1295.3668279320418,59772143.69008559
234,226558.98247800645,1207.9592769183112,59772233.05824501
235,226557.15418100738,1126.4497164065294,59772316.39610252
236,226555.4492654431,1050.4401696400034,59772394.11056485
237,226553.85940419193,979.559514840667,59772466.58108089
238,226552.37683222056,913.4616710335972,59772534.16149667
239,226550.99430867253,851.8239103695919,59772597.181780875
240,226549.7050814338,794.345280674855,59772655.949637815
241,226548.50285416248,740.7451374549439,59772710.7520083
242,226547.3817554937,690.7617726797654,59772761.85647174
243,226546.33631036236,644.1511377021565,59772809.512551844
244,226545.3614132386,600.6856512989452,59772853.952935375
245,226544.45230318184,560.153088590299,59772895.39460815
246,226543.60454058248,522.3555450517348,59772934.03991428
247,226542.81398546055,487.1084698303155,59772970.07754463
248,226542.0767772529,454.2397652801179,59773003.68345738
249,226541.38931593503,423.5889459391176,59773035.02173804
250,226540.7482444534,395.006355811426,59773064.24539965
251,226540.1504323052,368.35243676527546,59773091.49713084
252,226539.59296026558,343.49704799855857,59773116.90999165
253,226539.07310611018,320.31882984783385,59773140.60806395
254,226538.58833133342,298.7046119237724,59773162.70705665
255,226538.136268736,278.5488599725859,59773183.3148712
256,226537.71471087268,259.7531610471477,59773202.53212798
257,226537.3215992634,242.22574267966993,59773220.45265795
258,226536.9550143436,225.881024996466,59773237.16396056
259,226536.61316608707,210.63920277645033,59773252.74763104
260,226536.2943852632,196.42585578694485,59773267.27975885
261,226535.997115287,183.17158551975763,59773280.8312991
262,226535.71990461278,170.81167616389618,59773293.468419135
263,226535.4613996509,159.28577887072052,59773305.252821386
264,226535.22033815074,148.53761680615165,59773316.24204494
265,226534.9955430434,138.51471068768177,59773326.48974617
266,226534.78591668638,129.16812222844612,59773336.045960985
267,226534.59043551006,120.45221549312694,59773344.957348906
268,226534.40814501306,112.3244338061098,59773353.26742108
269,226534.23815510634,104.74509219374795,59773361.01675261
270,226534.07963576226,97.67718343069181,59773368.243180715
271,226533.9318129648,91.08619749096108,59773374.98198945
272,226533.79396492738,84.93995294921888,59773381.266082026
273,226533.6654185697,79.2084399070684,59773387.12614144
274,226533.54554623045,73.86367344933274,59773392.59078023
275,226533.43376260222,68.8795569872119,59773397.686680324
