t,s,i,r
123,58898252.14737539,28792.139102163517,1072955.7135224422
124,58897998.605705224,27051.8446986375,1074949.549596132
125,58897768.78373275,25408.641910892977,1076822.5743563508
126,58897560.52755332,23857.915173469493,1078581.5572732014
127,58897371.870423555,22395.186555797827,1080232.943020633
128,58897201.01765492,21016.120866609283,1081782.861478459
129,58897046.33241824,19716.5294735157,1083237.1381082335
130,58896906.32278129,18492.372745660938,1084601.3044730423
131,58896779.62957115,17339.761463420666,1085880.6089654213
132,58896665.0151873,16254.957242587585,1087080.0275701024
133,58896561.35331492,15234.37208306534,1088204.2746020039
134,58896467.61935928,14274.567185794478,1089257.8134549167
135,58896382.8817383,13372.2511216661,1090244.8671400303
136,58896306.29377228,12524.277445235042,1091169.4287824773
137,58896237.08628794,11727.64186675892,1092035.2718452895
138,58896174.56080527,10979.479013831018,1092845.9601808933
139,58896118.08328042,10277.05887543256,1093604.8578441353
140,58896067.07839209,9617.783022119871,1094315.1385857833
141,58896021.02427857,8999.180565159131,1094979.7951562533
142,58895979.44774309,8418.904027394723,1095601.6482294986
143,58895941.91985629,7874.72504818237,1096183.3550955153
144,58895908.051940754,7364.530059930077,1096727.4179993046
145,58895877.49190426,6886.315918345964,1097236.1921773863
146,58895849.92089132,6438.185498310097,1097711.8936103547
147,58895825.05022691,6018.343360466602,1098156.6064126086
148,58895802.618635856,5625.091395654895,1098572.2899684703
149,58895782.38970196,5256.824586525246,1098960.785711497
150,58895764.149559334,4912.026810995803,1099323.823629652
151,58895747.70478914,4589.266741043484,1099663.0284698042
152,58895732.88050663,4287.193842004902,1099979.9256513526
153,58895719.51862257,4004.534477810054,1100275.9468996113
154,58895707.47625878,3740.0881476697386,1100552.435593544
155,58895696.624315836,3492.723815944279,1100810.6518682062
156,58895686.846164905,3261.376391548405,1101051.7774435352
157,58895678.03646737,3045.0433148390875,1101276.9202177739
158,58895670.10009677,2842.781292304522,1101487.1186109122
159,58895662.95116705,2653.7031435173835,1101683.3456894201
160,58895656.51214722,2476.974789889676,1101866.513062879
161,58895650.7130612,2311.8123657728256,1102037.474573013
162,58895645.490762256,2157.4794554499167,1102197.0297822831
163,58895640.78827436,2013.2844574960873,1102345.9272681263
164,58895636.55419892,1878.5780665192647,1102484.8677345496
165,58895632.74217337,1752.7508831657854,1102614.5069434515
166,58895629.31038612,1635.2311279525757,1102735.4584859197
167,58895626.221132666,1525.4824771414994,1102848.2963901865
168,58895623.44041859,1423.002000597554,1102953.5575808
169,58895620.93759699,1327.3182104559512,1103051.7441925458
170,58895618.68504308,1237.98920668762,1103143.3257502236
171,58895616.65785879,1154.60092262595,1103228.7412185802
172,58895614.83360606,1076.7654638096199,1103308.4009301318
173,58895613.192066535,1004.1195351125887,1103382.6883983465
174,58895611.71502308,936.3229555647353,1103451.962021359
175,58895610.38606416,873.0572535711627,1103516.5566822665
176,58895609.19040516,814.0243434151704,1103576.7852514181
177,58895608.11473107,758.9452704051678,1103632.9399985177
178,58895607.14704856,707.5590359067692,1103685.2939155307
179,58895606.276556246,659.6214843748006,1103734.1019593794
180,58895605.493529744,614.9042519785985,1103779.6022182764
181,58895604.78921132,573.1937874666693,1103822.0170012172
182,58895604.1557158,534.2904166287211,1103861.5538675664
183,58895603.58594498,498.00747210696954,1103898.4065829099
184,58895603.07350967,464.17047375201497,1103932.756016573
185,58895602.612656176,432.6163508541743,1103964.7709929745
186,58895602.19820857,403.1927231478579,1103994.6090682852
187,58895601.82550716,375.7572143006822,1104022.4172785445
188,58895601.49035744,350.17681247423565,1104048.3328300868
189,58895601.18898711,326.32727337024727,1104072.48373952
190,58895600.91799924,304.09254978362765,1104094.9894509779
191,58895600.674338706,283.36426879097996,1104115.9613925032
192,58895600.45525651,264.04123257053664,1104135.5035109234
193,58895600.25827825,246.02895170590924,1104153.7127700408
194,58895600.081179485,229.23921455187812,1104170.679605956
195,58895599.92195773,213.58967211834033,1104186.4883701405
196,58895599.7788121,199.0034597079443,1104201.2177281764
197,58895599.65012297,185.40883764251404,1104214.9410393734
198,58895599.53443261,172.7388523984411,1104227.7267149792
199,58895599.43043085,160.93102761109262,1104239.6385415276
200,58895599.33693869,149.92706477091315,1104250.735996527
201,58895599.25289578,139.67257005794335,1104261.0745341466
202,58895599.17734895,130.1167979258139,1104270.7058531134
203,58895599.10944036,121.21240622268746,1104279.6781534047
204,58895599.04839911,112.91523521318511,1104288.0363656613
205,58895598.993531756,105.18409354651307,1104295.822374681
206,58895598.944214575,97.98056143362405,1104303.0752239758
207,58895598.899887115,91.26880877770724,1104309.8313040955
208,58895598.86004504,85.01541907034331,1104316.124535879
209,58895598.82423513,79.18923164866698,1104321.986533215
210,58895598.792049855,73.76118970361769,1104327.4467604337
211,58895598.76312261,68.70419868112018,1104332.5326786956
212,58895598.73712404,63.99299760921581,1104337.2698783383
213,58895598.713758044,59.60403491860187,1104341.682207025
214,58895598.69275835,55.515353277264296,1104345.7918883592
215,58895598.67388548,51.706482326717676,1104349.61963218
216,58895598.656924255,48.15834033149994,1104353.1847354025
217,58895598.64168125,44.85314015366358,1104356.5051785859
218,58895598.62798257,41.77430190259007,1104359.5977155096
219,58895598.6156719,38.90637148199824,1104362.4779566082
220,58895598.6046087,36.234945012752874,1104365.1604462797
221,58895598.594666675,33.74659787623364,1104367.6587354427
222,58895598.58573229,31.4288184958194,1104369.9854492103
223,58895598.5777035,29.269946945960168,1104372.1523495496
224,58895598.57048857,27.25911704433316,1104374.1703943734
225,58895598.564005084,25.38620276424456,1104376.0497921428
226,58895598.558178924,23.6417678996959,1104377.8000531709
227,58895598.55294349,22.017019781920126,1104379.430036718
228,58895598.54823893,20.50376522371926,1104380.947995835
229,58895598.54401145,19.094370121548334,1104382.361618417
230,58895598.5402127,17.78172126411434,1104383.6780660301
231,58895598.536799215,16.559191197735288,1104384.9040095783
232,58895598.53373196,15.420604999793355,1104386.0456630392
233,58895598.53097582,14.360209690340149,1104387.1088144884
234,58895598.52849925,13.372645423512083,1104388.098855315
235,58895598.52627393,12.452918783059133,1104389.0208072804
236,58895598.524274364,11.596377795287232,1104389.8793478324
237,58895598.522477664,10.798688682658781,1104390.6788336425
238,58895598.520863265,10.055814223677928,1104391.423322504
