date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-05-28,94,29551.717102962946,34425.96816838794,24677.466037537954
2020-05-29,95,28074.977565747995,32705.655669319494,23444.299462176496
2020-05-30,96,26656.23849993034,31052.91022143518,22259.5667784255
2020-05-31,97,25294.64713762687,29466.738401581388,21122.555873672354
2020-06-01,98,23989.215046118,27945.98874525192,20032.441346984077
2020-06-02,99,22738.835775359796,26489.372304875327,18988.299245844264
2020-06-03,100,21542.301583389115,25095.482133903148,17989.121032875082
2020-06-04,101,20398.318891151954,23762.8112907529,17033.826491551008
2020-06-05,102,19305.522620344622,22489.76954152831,16121.275699160937
2020-06-06,103,18262.489561360155,21274.69893287067,15250.280189849642
2020-06-07,104,17267.750459006216,20115.88787109132,14419.613046921115
2020-06-08,105,16319.801310730349,19011.584283922657,13628.01833753804
2020-06-09,106,15417.113453701797,17960.00737136012,12874.219536043473
2020-06-10,107,14558.142849792439,16959.358422104997,12156.92727747988
2020-06-11,108,13741.338420452836,16007.830523192344,11474.846317713327
2020-06-12,109,12965.149479075295,15103.617218245716,10826.681739904874
2020-06-13,110,12228.032475882173,14244.920364865253,10211.144586899094
2020-06-14,111,11528.456838471333,13429.956938510897,9626.956738431769
2020-06-15,112,10864.910245367933,12656.965175872185,9072.855314863682
2020-06-16,113,10235.903135898463,11924.209828599502,8547.596443197424
2020-06-17,114,9639.972660127152,11229.986764741785,8049.9585555125195
2020-06-18,115,9075.686066262144,10572.626914870418,7578.74521765387
2020-06-19,116,8541.643524546562,9950.499561742017,7132.787487351106
2020-06-20,117,8036.480537778914,9362.015148409326,6710.945927148502
2020-06-21,118,7558.869849799394,8805.62750149265,6312.112198106137
2020-06-22,119,7107.523008483626,8279.835651973315,5935.210364993936
2020-06-23,120,6681.191539451196,7783.1852024933105,5579.197876409082
2020-06-24,121,6278.667802319241,7314.269324839085,5243.066279799396
2020-06-25,122,5898.785563579563,6871.729427308837,4925.841699850289
2020-06-26,123,5540.420292194915,6454.255499064355,4626.585085325476
2020-06-27,124,5202.489240052549,6060.58620385455,4344.392276250547
2020-06-28,125,4883.9513040895645,5689.508719399808,4078.3938887793215
2020-06-29,126,4583.80671432309,5339.858373965954,3827.755054680226
2020-06-30,127,4301.096563458318,5010.5180983859955,3591.6750285306407
2020-07-01,128,4034.902198894967,4700.417717784309,3369.386680005625
2020-07-02,129,3784.34449732783,4408.5331065300325,3160.155888125628
2020-07-03,130,3548.5830430833794,4133.885231048762,2963.2808551179974
2020-07-04,131,3326.8152171728875,3875.5390886243767,2778.0913457213983
2020-07-05,132,3118.275225184593,3632.602574952043,2603.947875417143
2020-07-06,133,2922.2330631716704,3404.2252794600613,2440.2408468832796
2020-07-07,134,2737.99344333204,3189.597233791639,2286.389652872441
2020-07-08,135,2564.8946887998327,2987.9476243036042,2141.841753296061
2020-07-09,136,2402.3075982877385,2798.5434694432097,2006.0717271322674
2020-07-10,137,2249.6343065921355,2620.688292305335,1878.580320878936
2020-07-11,138,2106.3071264225573,2453.7207714336632,1758.8934814114511
