date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-09-01,190,0.8471785979153071,1.1600517843405052,0.5343054114901092
2020-09-02,191,0.7892761151434218,1.0807652223067628,0.49778700798008096
2020-09-03,192,0.7353154966508353,1.0068763021658644,0.46375469113580614
2020-09-04,193,0.685029956314196,0.9380197104889859,0.43204020213940625
2020-09-05,194,0.6381705975125311,0.8738546301568247,0.40248656486823753
2020-09-06,195,0.5945052462521683,0.814063142543604,0.37494734996073265
2020-09-07,196,0.5538173345806351,0.7583486985623721,0.34928597059889815
2020-09-08,197,0.515904859587291,0.7064346932121209,0.3253750259624612
2020-09-09,198,0.48057942926266906,0.6580631590615726,0.3030956994637656
2020-09-10,199,0.44766533883321286,0.6129935014632907,0.28233717620313503
2020-09-11,200,0.4169987384455355,0.571001358853783,0.262996118037288
2020-09-12,201,0.38842683674705425,0.5318775122069416,0.244976161287167
2020-09-13,202,0.3618071578603586,0.49542686760015975,0.22818744812055752
2020-09-14,203,0.3370068628371929,0.46146752707315736,0.21254619860122845
2020-09-15,204,0.3139020910030486,0.4298298867232547,0.1979742952828426
2020-09-16,205,0.29237736805304115,0.40035582620397864,0.1843989099021037
2020-09-17,206,0.2723250399295896,0.37289793352700057,0.1717521463321787
2020-09-18,207,0.25364474408654575,0.3473187810577854,0.1599707071153061
2020-09-19,208,0.23624292824055337,0.32349026653607366,0.14899558994503315
2020-09-20,209,0.22003238217026913,0.30129297196295557,0.1387717923775827
2020-09-21,210,0.20493181784003506,0.2806155886591958,0.12924804702087436
2020-09-22,211,0.1908654681134334,0.261354367778905,0.12037656844796189
2020-09-23,212,0.1777627114474873,0.24341260639882134,0.11211281649615326
2020-09-24,213,0.16555773133372523,0.22670018118688806,0.10441528148056242
2020-09-25,214,0.15418918437052184,0.2111330938897402,0.0972452748513035
2020-09-26,215,0.1435999030251889,0.19663306432128178,0.09056674172909605
2020-09-27,216,0.13373661185372082,0.18312714177898998,0.08434608192845168
2020-09-28,217,0.1245496616637744,0.17054734103010455,0.07855198229744427
2020-09-29,218,0.11599278897621068,0.15883031293944075,0.07315526501298063
2020-09-30,219,0.1080228812245854,0.147917022954244,0.06812873949492679
2020-10-01,220,0.10059976668528567,0.1377524634530142,0.06344706991755716
2020-10-02,221,0.09368601418618441,0.128285379484171,0.05908664888819782
2020-10-03,222,0.08724674532722639,0.11946801163745721,0.05502547901699557
2020-10-04,223,0.08124946501013647,0.11125586398624157,0.05124306603403137
2020-10-05,224,0.07566389424338806,0.10360747514536292,0.0477203133414132
2020-10-06,225,0.07046182204591432,0.09648421548111108,0.04443942861071758
2020-10-07,226,0.06561696835159396,0.08985009938469986,0.04138383731848806
2020-10-08,227,0.0611048462875728,0.08367159668832605,0.03853809588681956
2020-10-09,228,0.056902644287961435,0.07791747124204591,0.03588781733387697
2020-10-10,229,0.05298911144656488,0.072558623925897,0.03341959896723277
2020-10-11,230,0.049344448264392625,0.06756794304915731,0.031120953479627952
2020-10-12,231,0.04595021211953288,0.0629201749091137,0.028980249329952076
2020-10-13,232,0.04278922213455816,0.05859179352486279,0.02698665074425353
2020-10-14,233,0.03984547214487502,0.054560881463831645,0.0251300628259184
2020-10-15,234,0.037104054129504446,0.05080702499462966,0.023401083264379233
2020-10-16,235,0.03455108001893762,0.04731120701761057,0.021790953020264674
2020-10-17,236,0.03217361267064346,0.0440557125488095,0.02029151279247743
2020-10-18,237,0.02995960277757905,0.0410240423280119,0.018895163227146208
2020-10-19,238,0.027897825364942397,0.03820082586299774,0.01759482486688705
2020-10-20,239,0.0259778252194966,0.03557174670526259,0.016383903733730616
2020-10-21,240,0.024189864810763,0.033123471137884594,0.015256258483641408
2020-10-22,241,0.022524873186214336,0.030843578197101446,0.014206168175327228
2020-10-23,242,0.02097440224501988,0.028720499797426694,0.013228304692613067
2020-10-24,243,0.01953058342610394,0.02674346142409036,0.012317705428117526
2020-10-25,244,0.018186087250529833,0.024902426733941527,0.01146974776711814
2020-10-26,245,0.016934088117161135,0.02318804934972635,0.010680126884595919
2020-10-27,246,0.015768228430303996,0.021591623739639715,0.009944833120968279
2020-10-28,247,0.014682586507374713,0.02010504127291069,0.009260131741838736
2020-10-29,248,0.0136716481397676,0.01872075127775887,0.008622545001776333
2020-10-30,249,0.012730277156976473,0.0174317207344939,0.008028833579459048
2020-10-31,250,0.011853689987047672,0.016231399440839647,0.007475980533255699
2020-11-01,251,0.011037432122504196,0.015113687786442669,0.006961176458565725
2020-11-02,252,0.010277354428008265,0.014072904310671283,0.006481804545345248
2020-11-03,253,0.009569592980926921,0.013103758098060976,0.006035427863792868
2020-11-04,254,0.008910549615412636,0.012201322137091328,0.0056197770937339445
2020-11-05,255,0.008296872933516993,0.01136100731847693,0.005232738548557056
2020-11-06,256,0.007725442159522865,0.01057854032671136,0.004872343992334371
2020-11-07,257,0.007193351014207882,0.009849941558903327,0.004536760469512437
2020-11-08,258,0.0066978926710092816,0.009171504525073319,0.0042242808169452445
2020-11-09,259,0.006236546724322063,0.008539778003688428,0.0039333154449557005
2020-11-10,260,0.005806965889470795,0.007951547829774712,0.0036623839491668774
2020-11-11,261,0.005406964075830682,0.0074038205632992685,0.003410107588362097
2020-11-12,262,0.005034505862310603,0.006893809077823287,0.0031752026467979197
2020-11-13,263,0.004687695583805176,0.006418917616450383,0.0029564735511599695
2020-11-14,264,0.004364767892558878,0.005976728867389611,0.0027528069177281448
2020-11-15,265,0.004064079076606197,0.0055649920761917625,0.002563166077020632
2020-11-16,266,0.0037840982622783844,0.0051816109992366575,0.002386585525320112
2020-11-17,267,0.003523399938802732,0.0048246336675775514,0.0022221662100279133
2020-11-18,268,0.0032806567738596455,0.004492242549197528,0.002069070998521763
2020-11-19,269,0.0030546325733250847,0.004182744908700635,0.0019265202379495346
2020-11-20,270,0.0028441763121647154,0.0038945646337438726,0.0017937879905855585
2020-11-21,271,0.0026482161787019054,0.0036262340797821426,0.0016701982776216686
2020-11-22,272,0.002465753992451462,0.003376386426341236,0.001555121558561688
2020-11-23,273,0.0022958604027602104,0.003143749102458967,0.001447971703061454
2020-11-24,274,0.002137669952053647,0.002927137026729779,0.0013482028773775148
2020-11-25,275,0.0019903767101734533,0.0027254466293509046,0.0012553067909960023
2020-11-26,276,0.0018532304173361684,0.00253765057062955,0.0011688102640427871
2020-11-27,277,0.0017255322432240645,0.002362791933855324,0.001088272552592805
2020-11-28,278,0.001606631208966947,0.0021999793258771303,0.0010132830920567637
2020-11-29,279,0.0014959215421060385,0.0020483832552235857,0.0009434598289884915
2020-11-30,280,0.0013928391670961896,0.0019072313265057325,0.0008784470076866469
2020-12-01,281,0.001296858735964811,0.0017758041744628079,0.0008179132974668142
2020-12-02,282,0.0012074910141695267,0.00165343188438587,0.0007615501439531834
2020-12-03,283,0.0011242804229248,0.0015394906267962591,0.0007090702190533412
2020-12-04,284,0.0010468030298619107,0.001433399906032276,0.0006602061536915455
2020-12-05,285,0.0009746642657609173,0.0013346194337429582,0.0006147090977788765
2020-12-06,286,0.0009074959478659917,0.0012426450528781711,0.0005723468428538123
2020-12-07,287,0.0008449556727496886,0.001157007906330394,0.0005329034391689832
